avg_salary,Rating,Size,Industry,Sector,Revenue,Type of ownership,job_state,hourly,python_yn,R_yn,spark,aws,excel,company_age,job_title_group,job_seniority,sql_yn,tableau_yn
147.5,3.5,5001 to 10000 employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),Company - Public,CA,0,1,0,0,0,1,150.0,data_scientist,senior,0,0
106.0,3.5,201 to 500 employees,Insurance Carriers,Insurance,$100 to $500 million (USD),Company - Private,NY,0,1,0,0,0,1,35.0,data_engineer,mid,1,0
88.0,4.2,201 to 500 employees,IT Services,Information Technology,$50 to $100 million (USD),Company - Private,CA,0,1,0,0,1,1,12.0,data_analyst,mid,1,1
98.5,3.6,1 to 50 employees,Unknown,Unknown,Less than $1 million (USD),Company - Private,MA,0,0,0,0,0,1,25.0,data_engineer,mid,1,0
142.5,4.2,51 to 200 employees,Enterprise Software & Network Solutions,Information Technology,Unknown,Company - Private,CA,0,0,0,0,0,0,10.0,data_scientist,mid,0,0
82.5,3.4,5001 to 10000 employees,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),Company - Public,NJ,0,0,0,0,1,0,5.0,data_scientist,mid,0,0
130.0,4.3,1001 to 5000 employees,Real Estate,Real Estate,$2 to $5 billion (USD),Company - Public,IL,0,1,0,1,0,1,27.0,data_scientist,senior,1,1
155.0,5.0,Unknown,Enterprise Software & Network Solutions,Information Technology,Unknown,Company - Private,DC,0,0,0,0,1,1,25.0,data_scientist,mid,0,0
184.5,3.7,10000+ employees,IT Services,Information Technology,$10+ billion (USD),Company - Public,WA,0,1,0,0,0,1,62.0,data_scientist,lead,1,1
29.5,3.1,5001 to 10000 employees,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),Company - Private,CO,0,0,0,0,0,1,34.0,data_analyst,entry,0,0
86.5,4.7,501 to 1000 employees,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),Company - Private,OH,0,0,0,0,0,0,21.0,data_engineer,mid,0,0
81.0,3.7,10000+ employees,Industrial Manufacturing,Manufacturing,$10+ billion (USD),Company - Public,IL,0,0,0,0,0,0,95.0,data_scientist,mid,0,1
91.0,3.8,501 to 1000 employees,Advertising & Marketing,Business Services,Unknown,Subsidiary or Business Segment,FL,0,1,0,0,0,1,36.0,data_scientist,mid,1,1
114.5,3.3,10000+ employees,Insurance Carriers,Insurance,$10+ billion (USD),Company - Private,MA,0,1,0,0,0,0,108.0,data_scientist,mid,0,0
68.0,4.6,1001 to 5000 employees,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),Company - Private,AL,0,1,0,0,0,1,18.0,data_analyst,mid,0,1
115.0,3.7,10000+ employees,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),Company - Public,NY,0,1,0,0,0,1,157.0,data_scientist,mid,1,0
109.5,3.7,10000+ employees,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),Company - Public,CA,0,0,0,0,0,1,81.0,data_scientist,mid,1,1
75.5,3.5,5001 to 10000 employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),Company - Public,NM,0,1,0,0,0,1,150.0,data_scientist,mid,0,0
154.5,4.1,501 to 1000 employees,Enterprise Software & Network Solutions,Information Technology,Unknown,Company - Private,CA,0,1,0,1,0,1,8.0,data_scientist,mid,0,0
143.5,4.7,51 to 200 employees,IT Services,Information Technology,Unknown,Company - Private,MO,0,1,0,1,0,0,4.0,data_scientist,mid,1,0
107.0,4.4,201 to 500 employees,Metals Brokers,Mining & Metals,Unknown,Subsidiary or Business Segment,OH,0,1,0,0,1,0,135.0,data_scientist,senior,1,1
115.0,4.3,201 to 500 employees,Consulting,Business Services,$10 to $25 million (USD),Company - Private,NY,0,1,0,1,1,0,9.0,data_scientist,mid,1,1
139.5,3.8,501 to 1000 employees,Financial Transaction Processing,Finance,$50 to $100 million (USD),Company - Public,CA,0,0,0,0,0,0,14.0,data_scientist,senior,1,0
67.0,3.8,1001 to 5000 employees,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),Government,WA,0,0,0,0,0,0,55.0,data_scientist,mid,0,0
85.0,3.8,10000+ employees,Sporting Goods Stores,Retail,$5 to $10 billion (USD),Company - Public,PA,0,1,0,0,0,0,72.0,data_scientist,mid,1,0
118.0,2.8,51 to 200 employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),Company - Private,MA,0,1,0,0,0,1,14.0,data_scientist,mid,0,0
79.5,4.7,51 to 200 employees,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),Company - Private,GA,0,1,0,0,0,1,17.0,data_scientist,mid,1,0
56.5,3.1,201 to 500 employees,Advertising & Marketing,Business Services,$100 to $500 million (USD),Company - Public,MA,0,1,0,0,0,0,21.0,data_scientist,mid,1,1
128.5,3.2,1 to 50 employees,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),Company - Private,PA,0,1,0,1,1,0,25.0,data_scientist,mid,1,0
97.5,4.0,10000+ employees,Computer Hardware & Software,Information Technology,Unknown,Company - Public,WA,0,0,0,0,0,0,81.0,data_scientist,mid,0,0
