feature_name,coefficient,abs_coefficient
categorical__Type of ownership_Subsidiary or Business Segment,6.137836867267405,6.137836867267405
categorical__Sector_Transportation & Logistics,6.063594480314869,6.063594480314869
categorical__job_state_PA,6.045065634024619,6.045065634024619
categorical__Type of ownership_School / School District,-6.0265712877816835,6.0265712877816835
categorical__Size_201 to 500 employees,-5.955948634004642,5.955948634004642
numerical__hourly,-5.844325507301141,5.844325507301141
categorical__job_state_TX,-5.680491744452566,5.680491744452566
categorical__Industry_IT Services,5.620520562503218,5.620520562503218
categorical__job_state_NJ,5.498868228420356,5.498868228420356
categorical__Type of ownership_Company - Private,5.286319253871186,5.286319253871186
categorical__Type of ownership_Other Organization,5.149192917472948,5.149192917472948
categorical__job_state_TN,4.937563445500208,4.937563445500208
categorical__job_title_group_machine_learning,4.533345729204258,4.533345729204258
categorical__Sector_Information Technology,4.341379273569942,4.341379273569942
categorical__job_state_VA,4.328018417612622,4.328018417612622
categorical__Industry_Biotech & Pharmaceuticals,4.283093475957159,4.283093475957159
categorical__Sector_Biotech & Pharmaceuticals,4.2830934759570924,4.2830934759570924
"categorical__Industry_Health, Beauty, & Fitness",4.249727731215565,4.249727731215565
categorical__job_title_group_other,-4.220849285710245,4.220849285710245
categorical__job_state_DE,-4.20573590715481,4.20573590715481
categorical__Revenue_$2 to $5 billion (USD),-4.19616506465909,4.19616506465909
categorical__Industry_Travel Agencies,-4.150559539417488,4.150559539417488
categorical__Sector_Travel & Tourism,-4.1505595394174675,4.1505595394174675
numerical__python_yn,4.026091755084643,4.026091755084643
categorical__Sector_Aerospace & Defense,4.0182118917616965,4.0182118917616965
categorical__Industry_Aerospace & Defense,4.018211891761638,4.018211891761638
categorical__Sector_Media,-3.957446556626812,3.957446556626812
categorical__job_state_IA,-3.9484928126747523,3.9484928126747523
categorical__Industry_Beauty & Personal Accessories Stores,3.8752897293131445,3.8752897293131445
categorical__Industry_Financial Analytics & Research,-3.844713258398266,3.844713258398266
categorical__Industry_Computer Hardware & Software,3.7958170978528956,3.7958170978528956
categorical__Industry_Insurance Agencies & Brokerages,3.746407004989578,3.746407004989578
numerical__Rating,3.6638681652414573,3.6638681652414573
categorical__job_state_MO,-3.449607673661907,3.449607673661907
categorical__Sector_Insurance,3.3331668418258973,3.3331668418258973
categorical__Revenue_$500 million to $1 billion (USD),-3.2145117298027586,3.2145117298027586
categorical__Industry_K-12 Education,3.1787973745438287,3.1787973745438287
categorical__Size_1001 to 5000 employees,3.0754431030574807,3.0754431030574807
categorical__job_state_OR,2.7586621301532097,2.7586621301532097
numerical__tableau_yn,-2.681196306361536,2.681196306361536
categorical__job_seniority_senior,2.6242959253977993,2.6242959253977993
numerical__R_yn,2.5471460499642182,2.5471460499642182
categorical__Industry_Accounting,2.408592709696178,2.408592709696178
categorical__Sector_Accounting & Legal,2.4085927096961672,2.4085927096961672
categorical__Industry_Industrial Manufacturing,2.3479650668566716,2.3479650668566716
categorical__Industry_Real Estate,-2.2580592302916105,2.2580592302916105
categorical__Sector_Real Estate,-2.2580592302914226,2.2580592302914226
categorical__job_title_group_data_engineer,2.1728566603780397,2.1728566603780397
categorical__Industry_Research & Development,-2.023813864269427,2.023813864269427
categorical__Size_1 to 50 employees,1.9740529065322239,1.9740529065322239
categorical__Industry_Energy,-1.8424106555227031,1.8424106555227031
"categorical__Sector_Oil, Gas, Energy & Utilities",-1.842410655522641,1.842410655522641
numerical__aws,1.7414341674602571,1.7414341674602571
numerical__spark,1.6129914430262584,1.6129914430262584
categorical__Sector_Agriculture & Forestry,1.6083726118748092,1.6083726118748092
categorical__Industry_Farm Support Services,1.608372611874766,1.608372611874766
categorical__Revenue_$1 to $2 billion (USD),1.5293202824684666,1.5293202824684666
categorical__Sector_Health Care,1.4331965340896797,1.4331965340896797
categorical__Industry_Health Care Services & Hospitals,1.4331965340894275,1.4331965340894275
categorical__Sector_Education,-1.3823354197012274,1.3823354197012274
categorical__job_title_group_leadership,-1.257441178507646,1.257441178507646
categorical__job_state_FL,-0.9929730275047817,0.9929730275047817
categorical__Size_501 to 1000 employees,0.8562866525796862,0.8562866525796862
numerical__sql_yn,0.780139344854021,0.780139344854021
categorical__Sector_Telecommunications,-0.7538362395799401,0.7538362395799401
categorical__Industry_Telecommunications Services,-0.7538362395799361,0.7538362395799361
categorical__Industry_Insurance Carriers,-0.4132401631635143,0.4132401631635143
categorical__Industry_Logistics & Supply Chain,0.33049557340701163,0.33049557340701163
categorical__Revenue_Unknown,0.3017010643531979,0.3017010643531979
categorical__Revenue_$50 to $100 million (USD),-0.25756870901140605,0.25756870901140605
numerical__excel,-0.13305444105728625,0.13305444105728625
numerical__company_age,0.023138600928723108,0.023138600928723108
