job_seniority,row_count,mean_actual_salary,mean_predicted_salary,mean_residual,mean_abs_error
director,3,196.16666666666666,123.26355618692719,-72.90311047973947,72.90311047973947
lead,4,138.5,139.39300274885503,0.8930027488550323,25.40351034270548
senior,19,109.26315789473684,120.72063195734398,11.457474062607142,21.120345051645064
mid,61,97.5327868852459,94.39692632663606,-3.135860558609836,21.05018380714105
principal,3,163.0,143.66128462739587,-19.33871537260414,19.33871537260414
entry,4,64.5,78.99948885396853,14.499488853968527,14.499488853968527
