salary_band,row_count,mean_actual_salary,mean_predicted_salary,mean_residual,mean_abs_error
high,22,161.4090909090909,123.85326697827662,-37.5558239308143,38.283186612956364
low,24,59.541666666666664,78.3969832330098,18.85531656634313,20.42479206528216
lower_mid,24,89.95833333333333,100.48760709808373,10.529273764750391,17.243793712438027
upper_mid,24,115.66666666666667,112.8436233541779,-2.823043312488787,15.642044933760944
