job_state,row_count,mean_actual_salary,mean_predicted_salary,mean_residual,mean_abs_error
IL,7,132.92857142857142,106.25004527044982,-26.678526158121606,37.673894935720504
CA,27,125.42592592592592,123.98076137378473,-1.4451645521411975,31.30431793603102
TX,2,80.0,67.36946431573409,-12.630535684265904,26.75842254941087
NJ,2,130.0,103.70966353130873,-26.290336468691272,26.290336468691272
MO,2,107.0,95.88302245630118,-11.11697754369883,26.087374384680977
AZ,2,61.75,87.77144279194331,26.021442791943322,26.021442791943322
NM,1,72.0,94.59183850205822,22.591838502058224,22.591838502058224
WI,2,80.25,102.07738328942844,21.827383289428433,21.827383289428433
NY,9,103.44444444444444,96.45552426317333,-6.988920181271116,19.753927777110395
MA,11,104.18181818181819,108.03249109704149,3.8506729152233006,18.917144618943226
