model,mse,rmse,r2
ridge_regression,962.6841395288088,31.0271516502693,0.4181137322207381
linear_regression,1026.3916507640383,32.037347748589276,0.3796062670823621
lasso_regression,1113.6436155863435,33.37129927926606,0.3268675565519189
random_forest,1235.483882747909,35.14945067490969,0.25322223986624826
